Name,Score,Price,Design,Reason
Emily,70,100,75,If it was marketed as boosting performance and productivity she'd buy it
Michael,30,50,30,
Sarah,80,80,60,If the product was more trendy it would appeal to her
David,10,20,10,
Alex,70,80,75,If it was marketed as edgy and unique they'd buy it
Carlos,60,70,60,If it was highlighted as the leading gear and brand on the market he'd buy it
Lisa,20,30,20,
Brandon,80,80,80,If it was known for being the premier training shoe for working men he would buy it
Katie,50,60,50,
Sean,20,30,20,
