Name,Product,Score,Price,Design,Reason
Emily,Men's Project Rock BSR 5 Training Shoes,75,70,70,"If they were a more sleek and versatile design, she would buy them."
Michael,Men's Project Rock BSR 5 Training Shoes,90,80,80,
Sarah,Men's Project Rock BSR 5 Training Shoes,80,70,80,"If they were a brighter color, she would buy them."
David,Men's Project Rock BSR 5 Training Shoes,5,20,5,
Alex,Men's Project Rock BSR 5 Training Shoes,70,70,70,"If the shoes had a more distinctive design element, they would buy them."
Carlos,Men's Project Rock BSR 5 Training Shoes,50,40,50,
Lisa,Men's Project Rock BSR 5 Training Shoes,50,60,50,
Brandon,Men's Project Rock BSR 5 Training Shoes,70,70,70,"If the shoes were steel-toed, he would buy it."
Katie,Men's Project Rock BSR 5 Training Shoes,70,70,70,If the shoes were made ethically she would buy them.
Sean,Men's Project Rock BSR 5 Training Shoes,10,20,10,
